"V1"	"V2"	"x"	"y"
"1968"	"Savana Gramnneo-Lenhosa com floresta-de-galeria"	"Sgf"	"-49.125"	"-8.875"
"1969"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.875"	"-8.875"
"1971"	"Savana Parque com floresta-de-galeria"	"Spf"	"-48.375"	"-8.875"
"1972"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-48.125"	"-8.875"
"1973"	"Savana Florestada"	"Sd"	"-47.875"	"-8.875"
"1974"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-8.875"
"1975"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-8.875"
"1976"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.125"	"-8.875"
"1977"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.875"	"-8.875"
"1978"	"Savana Parque com floresta-de-galeria"	"Spf"	"-46.625"	"-8.875"
"1979"	NA	NA	"-46.375"	"-8.875"
"1980"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.125"	"-8.875"
"1981"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.875"	"-8.875"
"1982"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.625"	"-8.875"
"1983"	NA	NA	"-45.375"	"-8.875"
"1984"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-8.875"
"1985"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.875"	"-8.875"
"1986"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.625"	"-8.875"
"1987"	NA	NA	"-44.375"	"-8.875"
"1988"	"Contato Savana/Savana-Estapica - Ecctono"	"STt"	"-44.125"	"-8.875"
"1989"	"Floresta Estacional Semidecidual Submontana"	"Fs"	"-43.875"	"-8.875"
"1990"	"Floresta Estacional Semidecidual Submontana"	"Fs"	"-43.625"	"-8.875"
"1991"	"Floresta Estacional Decidual Submontana"	"Cs"	"-43.375"	"-8.875"
"2039"	"Floresta Estacional Sempre Verde Aluvial com dossel emergente"	"Hae"	"-49.875"	"-9.125"
"2040"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.625"	"-9.125"
"2041"	"Savana Gramnneo-Lenhosa com floresta-de-galeria"	"Sgf"	"-49.375"	"-9.125"
"2042"	"Savana Gramnneo-Lenhosa com floresta-de-galeria"	"Sgf"	"-49.125"	"-9.125"
"2043"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.875"	"-9.125"
"2045"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.375"	"-9.125"
"2046"	NA	NA	"-48.125"	"-9.125"
"2047"	NA	NA	"-47.875"	"-9.125"
"2048"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-9.125"
"2049"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-9.125"
"2050"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.125"	"-9.125"
"2051"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.875"	"-9.125"
"2052"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-9.125"
"2053"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.375"	"-9.125"
"2054"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.125"	"-9.125"
"2055"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.875"	"-9.125"
"2056"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.625"	"-9.125"
"2057"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.375"	"-9.125"
"2058"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.125"	"-9.125"
"2059"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-44.875"	"-9.125"
"2060"	NA	NA	"-44.625"	"-9.125"
"2061"	NA	NA	"-44.375"	"-9.125"
"2062"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.125"	"-9.125"
"2113"	NA	NA	"-49.875"	"-9.375"
"2114"	NA	NA	"-49.625"	"-9.375"
"2115"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.375"	"-9.375"
"2116"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.125"	"-9.375"
"2117"	NA	NA	"-48.875"	"-9.375"
"2118"	NA	NA	"-48.625"	"-9.375"
"2119"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-48.375"	"-9.375"
"2120"	NA	NA	"-48.125"	"-9.375"
"2121"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-47.875"	"-9.375"
"2122"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-9.375"
"2123"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-9.375"
"2124"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.125"	"-9.375"
"2125"	"Savana Parque com floresta-de-galeria"	"Spf"	"-46.875"	"-9.375"
"2126"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.625"	"-9.375"
"2127"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.375"	"-9.375"
"2128"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.125"	"-9.375"
"2129"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.875"	"-9.375"
"2130"	NA	NA	"-45.625"	"-9.375"
"2131"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.375"	"-9.375"
"2132"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-9.375"
"2133"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.875"	"-9.375"
"2134"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.625"	"-9.375"
"2135"	NA	NA	"-44.375"	"-9.375"
"2136"	"Floresta Estacional Decidual Montana com dossel uniforme"	"Cmu"	"-44.125"	"-9.375"
"2137"	"Floresta Estacional Decidual Montana com dossel uniforme"	"Cmu"	"-43.875"	"-9.375"
"2186"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-50.125"	"-9.625"
"2187"	NA	NA	"-49.875"	"-9.625"
"2188"	NA	NA	"-49.625"	"-9.625"
"2189"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.375"	"-9.625"
"2190"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.125"	"-9.625"
"2191"	NA	NA	"-48.875"	"-9.625"
"2192"	NA	NA	"-48.625"	"-9.625"
"2193"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.375"	"-9.625"
"2194"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.125"	"-9.625"
"2195"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-47.875"	"-9.625"
"2196"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-9.625"
"2197"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.375"	"-9.625"
"2198"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.125"	"-9.625"
"2199"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.875"	"-9.625"
"2200"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.625"	"-9.625"
"2201"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.375"	"-9.625"
"2202"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.125"	"-9.625"
"2203"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.875"	"-9.625"
"2204"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.625"	"-9.625"
"2205"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.375"	"-9.625"
"2206"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-9.625"
"2207"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.875"	"-9.625"
"2208"	NA	NA	"-44.625"	"-9.625"
"2209"	"Floresta Estacional Semidecidual Submontana"	"Fs"	"-44.375"	"-9.625"
"2210"	"Floresta Estacional Decidual Montana com dossel uniforme"	"Cmu"	"-44.125"	"-9.625"
"2260"	"Floresta Estacional Sempre Verde Aluvial com dossel emergente"	"Hae"	"-50.125"	"-9.875"
"2261"	NA	NA	"-49.875"	"-9.875"
"2262"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.625"	"-9.875"
"2263"	NA	NA	"-49.375"	"-9.875"
"2264"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.125"	"-9.875"
"2265"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.875"	"-9.875"
"2266"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.625"	"-9.875"
"2267"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.375"	"-9.875"
"2268"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.125"	"-9.875"
"2269"	NA	NA	"-47.875"	"-9.875"
"2270"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-9.875"
"2271"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.375"	"-9.875"
"2272"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.125"	"-9.875"
"2273"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-46.875"	"-9.875"
"2274"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-9.875"
"2275"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.375"	"-9.875"
"2276"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.125"	"-9.875"
"2277"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.875"	"-9.875"
"2278"	NA	NA	"-45.625"	"-9.875"
"2279"	NA	NA	"-45.375"	"-9.875"
"2280"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-9.875"
"2281"	"Contato Savana/Savana-Estapica - Ecctono"	"STt"	"-44.875"	"-9.875"
"2282"	"Contato Savana/Savana-Estapica - Ecctono"	"STt"	"-44.625"	"-9.875"
"2283"	"Contato Savana/Savana-Est"	"STt"	"-44.375"	"-9.875"
"2284"	"Savana-Est+pica Arborizada sem palmeiras e sem floresta-de-galeria"	"Tas"	"-44.125"	"-9.875"
"2285"	"Savana-EstApica Arborizada"	"Ta"	"-43.875"	"-9.875"
"2286"	"Savana-Estapica Arborizada"	"Ta"	"-43.625"	"-9.875"
"2330"	NA	NA	"-51.125"	"-10.125"
"2333"	"Floresta Estacional Sempre Verde Aluvial com dossel emergente"	"Hae"	"-50.375"	"-10.125"
"2334"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.125"	"-10.125"
"2335"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.875"	"-10.125"
"2336"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.625"	"-10.125"
"2337"	NA	NA	"-49.375"	"-10.125"
"2338"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.125"	"-10.125"
"2339"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-48.875"	"-10.125"
"2340"	NA	NA	"-48.625"	"-10.125"
"2341"	NA	NA	"-48.375"	"-10.125"
"2342"	"Savana Florestada"	"Sd"	"-48.125"	"-10.125"
"2343"	NA	NA	"-47.875"	"-10.125"
"2344"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.625"	"-10.125"
"2345"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-10.125"
"2346"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.125"	"-10.125"
"2347"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.875"	"-10.125"
"2348"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-10.125"
"2349"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.375"	"-10.125"
"2350"	"Savana Parque com floresta-de-galeria"	"Spf"	"-46.125"	"-10.125"
"2351"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.875"	"-10.125"
"2352"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-45.625"	"-10.125"
"2353"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.375"	"-10.125"
"2354"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.125"	"-10.125"
"2355"	NA	NA	"-44.875"	"-10.125"
"2356"	"Contato Savana/Floresta Estacional - Ecetono"	"SNt"	"-44.625"	"-10.125"
"2357"	"Floresta Estacional Decidual Submontana"	"Cs"	"-44.375"	"-10.125"
"2358"	"Floresta Estacional Decidual Submontana"	"Cs"	"-44.125"	"-10.125"
"2359"	NA	NA	"-43.875"	"-10.125"
"2360"	"Savana-Estapica Arborizada sem palmeiras e sem floresta-de-galeria"	"Tas"	"-43.625"	"-10.125"
"2404"	NA	NA	"-51.125"	"-10.375"
"2405"	NA	NA	"-50.875"	"-10.375"
"2406"	NA	NA	"-50.625"	"-10.375"
"2407"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.375"	"-10.375"
"2408"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.125"	"-10.375"
"2409"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.875"	"-10.375"
"2410"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.625"	"-10.375"
"2411"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.375"	"-10.375"
"2412"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.125"	"-10.375"
"2413"	NA	NA	"-48.875"	"-10.375"
"2414"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-48.625"	"-10.375"
"2415"	NA	NA	"-48.375"	"-10.375"
"2416"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-48.125"	"-10.375"
"2417"	NA	NA	"-47.875"	"-10.375"
"2418"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.625"	"-10.375"
"2419"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-10.375"
"2420"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.125"	"-10.375"
"2421"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-46.875"	"-10.375"
"2422"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-10.375"
"2423"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.375"	"-10.375"
"2424"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.125"	"-10.375"
"2425"	NA	NA	"-45.875"	"-10.375"
"2426"	NA	NA	"-45.625"	"-10.375"
"2427"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.375"	"-10.375"
"2428"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.125"	"-10.375"
"2429"	NA	NA	"-44.875"	"-10.375"
"2430"	NA	NA	"-44.625"	"-10.375"
"2431"	"Floresta Estacional Decidual Submontana"	"Cs"	"-44.375"	"-10.375"
"2432"	NA	NA	"-44.125"	"-10.375"
"2433"	"Floresta Estacional Semidecidual Montana"	"Fm"	"-43.875"	"-10.375"
"2434"	"Floresta Estacional Decidual Submontana"	"Cs"	"-43.625"	"-10.375"
"2435"	"Contato Savana-Estapica/Floresta Estacional - Ecatono"	"TNt"	"-43.375"	"-10.375"
"2478"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-51.125"	"-10.625"
"2479"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-50.875"	"-10.625"
"2480"	NA	NA	"-50.625"	"-10.625"
"2481"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.375"	"-10.625"
"2482"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.125"	"-10.625"
"2483"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.875"	"-10.625"
"2484"	NA	NA	"-49.625"	"-10.625"
"2485"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.375"	"-10.625"
"2486"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.125"	"-10.625"
"2487"	NA	NA	"-48.875"	"-10.625"
"2488"	NA	NA	"-48.625"	"-10.625"
"2489"	NA	NA	"-48.375"	"-10.625"
"2490"	NA	NA	"-48.125"	"-10.625"
"2491"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-47.875"	"-10.625"
"2492"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.625"	"-10.625"
"2493"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-10.625"
"2494"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-47.125"	"-10.625"
"2495"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.875"	"-10.625"
"2496"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-10.625"
"2497"	"Savana Parque com floresta-de-galeria"	"Spf"	"-46.375"	"-10.625"
"2498"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.125"	"-10.625"
"2499"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.875"	"-10.625"
"2500"	NA	NA	"-45.625"	"-10.625"
"2501"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.375"	"-10.625"
"2502"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-10.625"
"2503"	NA	NA	"-44.875"	"-10.625"
"2504"	"Floresta Estacional Decidual Submontana"	"Cs"	"-44.625"	"-10.625"
"2505"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.375"	"-10.625"
"2506"	"Floresta Estacional Semidecidual Montana"	"Fm"	"-44.125"	"-10.625"
"2507"	"Floresta Estacional Semidecidual Montana"	"Fm"	"-43.875"	"-10.625"
"2508"	"Savana-Estepica Arborizada"	"Ta"	"-43.625"	"-10.625"
"2509"	"Contato Savana-Estapica/Floresta Estacional - Ecatono"	"TNt"	"-43.375"	"-10.625"
"2549"	NA	NA	"-51.875"	"-10.875"
"2551"	"Savana Parque com floresta-de-galeria"	"Spf"	"-51.375"	"-10.875"
"2552"	"Savana Parque com floresta-de-galeria"	"Spf"	"-51.125"	"-10.875"
"2553"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.875"	"-10.875"
"2554"	"Floresta Estacional Sempre Verde Aluvial com dossel emergente"	"Hae"	"-50.625"	"-10.875"
"2555"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.375"	"-10.875"
"2556"	"Floresta Estacional Sempre Verde Aluvial"	"Ha"	"-50.125"	"-10.875"
"2557"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.875"	"-10.875"
"2558"	NA	NA	"-49.625"	"-10.875"
"2559"	NA	NA	"-49.375"	"-10.875"
"2560"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.125"	"-10.875"
"2561"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.875"	"-10.875"
"2562"	NA	NA	"-48.625"	"-10.875"
"2563"	NA	NA	"-48.375"	"-10.875"
"2564"	NA	NA	"-48.125"	"-10.875"
"2565"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-47.875"	"-10.875"
"2566"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-47.625"	"-10.875"
"2567"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.375"	"-10.875"
"2568"	"Savana Gramnneo-Lenhosa com floresta-de-galeria"	"Sgf"	"-47.125"	"-10.875"
"2569"	"Savana Gramnneo-Lenhosa sem floresta-de-galeria"	"Sgs"	"-46.875"	"-10.875"
"2570"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-46.625"	"-10.875"
"2571"	"Savana Parque com floresta-de-galeria"	"Spf"	"-46.375"	"-10.875"
"2572"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.125"	"-10.875"
"2573"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.875"	"-10.875"
"2574"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.625"	"-10.875"
"2575"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.375"	"-10.875"
"2576"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-10.875"
"2577"	"Contato Savana/Floresta Estacional - Ecatono"	"SNt"	"-44.875"	"-10.875"
"2578"	NA	NA	"-44.625"	"-10.875"
"2579"	"Floresta Estacional Decidual Submontana"	"Cs"	"-44.375"	"-10.875"
"2580"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.125"	"-10.875"
"2581"	"Floresta Estacional Decidual Montana"	"Cm"	"-43.875"	"-10.875"
"2582"	NA	NA	"-43.625"	"-10.875"
"2585"	NA	NA	"-42.875"	"-10.875"
"2624"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-51.625"	"-11.125"
"2625"	"Savana Parque com floresta-de-galeria"	"Spf"	"-51.375"	"-11.125"
"2626"	"Savana Parque com floresta-de-galeria"	"Spf"	"-51.125"	"-11.125"
"2627"	"Floresta Estacional Sempre Verde das Terras Baixas"	"Hb"	"-50.875"	"-11.125"
"2628"	"Floresta Estacional Sempre Verde Aluvial com dossel emergente"	"Hae"	"-50.625"	"-11.125"
"2629"	"Floresta Estacional Sempre Verde Aluvial"	"Ha"	"-50.375"	"-11.125"
"2630"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.125"	"-11.125"
"2631"	NA	NA	"-49.875"	"-11.125"
"2632"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.625"	"-11.125"
"2633"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-49.375"	"-11.125"
"2634"	NA	NA	"-49.125"	"-11.125"
"2635"	NA	NA	"-48.875"	"-11.125"
"2636"	NA	NA	"-48.625"	"-11.125"
"2637"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-48.375"	"-11.125"
"2638"	"Floresta Estacional Semidecidual Aluvial"	"Fa"	"-48.125"	"-11.125"
"2639"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-47.875"	"-11.125"
"2640"	NA	NA	"-47.625"	"-11.125"
"2641"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-11.125"
"2642"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.125"	"-11.125"
"2643"	"Savana Parque com floresta-de-galeria"	"Spf"	"-46.875"	"-11.125"
"2644"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-11.125"
"2645"	NA	NA	"-46.375"	"-11.125"
"2646"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-46.125"	"-11.125"
"2647"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.875"	"-11.125"
"2648"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.625"	"-11.125"
"2649"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-45.375"	"-11.125"
"2650"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-11.125"
"2651"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.875"	"-11.125"
"2652"	"Contato Savana/Floresta Estacional - Ecatono"	"SNt"	"-44.625"	"-11.125"
"2653"	NA	NA	"-44.375"	"-11.125"
"2654"	"Contato Savana/Savana-Estapica - Ecctono"	"STt"	"-44.125"	"-11.125"
"2655"	"Floresta Estacional Decidual Submontana"	"Cs"	"-43.875"	"-11.125"
"2656"	NA	NA	"-43.625"	"-11.125"
"2658"	NA	NA	"-43.125"	"-11.125"
"2699"	"Savana Parque com floresta-de-galeria"	"Spf"	"-51.375"	"-11.375"
"2700"	"Savana Parque com floresta-de-galeria"	"Spf"	"-51.125"	"-11.375"
"2701"	NA	NA	"-50.875"	"-11.375"
"2702"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.625"	"-11.375"
"2703"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.375"	"-11.375"
"2704"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.125"	"-11.375"
"2705"	NA	NA	"-49.875"	"-11.375"
"2706"	NA	NA	"-49.625"	"-11.375"
"2707"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-49.375"	"-11.375"
"2708"	NA	NA	"-49.125"	"-11.375"
"2709"	NA	NA	"-48.875"	"-11.375"
"2710"	NA	NA	"-48.625"	"-11.375"
"2711"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.375"	"-11.375"
"2712"	NA	NA	"-48.125"	"-11.375"
"2713"	NA	NA	"-47.875"	"-11.375"
"2714"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-11.375"
"2715"	"Savana Parque com floresta-de-galeria"	"Spf"	"-47.375"	"-11.375"
"2716"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.125"	"-11.375"
"2717"	"Savana Gramnneo-Lenhosa com floresta-de-galeria"	"Sgf"	"-46.875"	"-11.375"
"2718"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-46.625"	"-11.375"
"2719"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-46.375"	"-11.375"
"2720"	NA	NA	"-46.125"	"-11.375"
"2721"	NA	NA	"-45.875"	"-11.375"
"2722"	NA	NA	"-45.625"	"-11.375"
"2723"	NA	NA	"-45.375"	"-11.375"
"2724"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-45.125"	"-11.375"
"2725"	NA	NA	"-44.875"	"-11.375"
"2726"	"Contato Savana/Savana-Estbpica/Floresta Estacional - Ecltono"	"STNt"	"-44.625"	"-11.375"
"2727"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.375"	"-11.375"
"2728"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-44.125"	"-11.375"
"2729"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.875"	"-11.375"
"2730"	"Floresta Estacional Decidual Submontana"	"Cs"	"-43.625"	"-11.375"
"2731"	NA	NA	"-43.375"	"-11.375"
"2739"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-59.875"	"-11.625"
"2740"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-59.625"	"-11.625"
"2741"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-59.375"	"-11.625"
"2742"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-59.125"	"-11.625"
"2743"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-58.875"	"-11.625"
"2744"	"Floresta Estacional Sempre Verde Submontana com dossel emergente"	"Hse"	"-58.625"	"-11.625"
"2773"	NA	NA	"-51.375"	"-11.625"
"2774"	NA	NA	"-51.125"	"-11.625"
"2775"	NA	NA	"-50.875"	"-11.625"
"2776"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.625"	"-11.625"
"2777"	"Floresta Estacional Sempre Verde Aluvial com dossel emergente"	"Hae"	"-50.375"	"-11.625"
"2778"	"Savana Parque com floresta-de-galeria"	"Spf"	"-50.125"	"-11.625"
"2779"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.875"	"-11.625"
"2780"	"Savana Parque com floresta-de-galeria"	"Spf"	"-49.625"	"-11.625"
"2781"	NA	NA	"-49.375"	"-11.625"
"2782"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-49.125"	"-11.625"
"2783"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.875"	"-11.625"
"2784"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-48.625"	"-11.625"
"2785"	NA	NA	"-48.375"	"-11.625"
"2786"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-48.125"	"-11.625"
"2787"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.875"	"-11.625"
"2788"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.625"	"-11.625"
"2789"	"Savana Arborizada com floresta-de-galeria"	"Saf"	"-47.375"	"-11.625"
