"from","to","z"
"3","3",69.2672839490161
"4","4",51.9263381062995
"1","1",41.9475955699392
"2","2",39.4557796629604
"5","5",37.1403094001537
"3","1",-21.4169250280565
"1","3",-20.9024988216064
"2","5",-19.2351392310149
"5","2",-19.0958343895013
"5","3",-16.4647666849727
"4","5",-15.2006048425296
"5","4",-15.1103635048296
"5","1",-14.3330597557489
"3","5",-13.9262687691556
"2","3",-12.6081860349111
"1","5",-11.9414361873659
"3","4",-10.4802169375682
"3","2",-10.0713835052084
"4","3",-8.94355969760078
"1","4",8.42989802414799
"1","2",-8.26632026488338
"4","1",5.86733837594464
"2","1",-4.56937026374871
"4","2",0.427992465098703
"2","4",0.103885329172855
