"r1","r2","backward","forward","delta_Z","symmetry"
1,3,-24.5881762393543,-21.8069760322078,2.7812002071465,"Moderately asymmetric"
1,5,-11.3233823838475,-21.3878372386877,10.0644548548402,"Strongly asymmetric"
4,5,-20.0102076868063,-17.5964189115109,2.4137887752954,"Moderately asymmetric"
1,4,5.89348196466402,16.9535090165829,11.0600270519189,"Strongly asymmetric"
2,3,-16.0097478038029,-12.3901808356694,3.6195669681335,"Strongly asymmetric"
3,4,-11.8950056093985,-15.8510133756954,3.9560077662969,"Strongly asymmetric"
3,5,-15.5616395167081,-2.86512173082485,12.6965177858833,"Strongly asymmetric"
2,5,-10.3152972214507,-13.8400783114165,3.5247810899658,"Strongly asymmetric"
1,2,-4.01442426833617,-5.14783183364227,1.1334075653061,"Moderately asymmetric"
2,4,-4.77049443816603,-2.47818754008962,2.29230689807641,"Moderately asymmetric"
