"from","to","z"
"3","3",69.1569367712042
"4","4",46.2569652448186
"5","5",38.6605344308794
"1","1",37.3941053832292
"2","2",31.736591484382
"3","1",-24.5881762393543
"1","3",-21.8069760322078
"1","5",-21.3878372386877
"5","4",-20.0102076868063
"4","5",-17.5964189115109
"1","4",16.9535090165829
"3","2",-16.0097478038029
"3","4",-15.8510133756954
"5","3",-15.5616395167081
"2","5",-13.8400783114165
"2","3",-12.3901808356694
"4","3",-11.8950056093985
"5","1",-11.3233823838475
"5","2",-10.3152972214507
"4","1",5.89348196466402
"1","2",-5.14783183364227
"4","2",-4.77049443816603
"2","1",-4.01442426833617
"3","5",-2.86512173082485
"2","4",-2.47818754008962
